Date (date),State Name (state_name),State Code (state_code),RTO Name (office_name),RTO Code (office_code),Fuel Type (fuel_type),Category (category),Registrations (registrations)
"2023-04-01","Kerala","32","Vandiperiyar Srto","KL37","Petrol/Ethanol","Fuel","9.0"
"2023-12-01","Delhi","07","South Delhi","DL3","Diesel/Hybrid","Fuel","1.0"
"2022-06-01","Odisha","21","Cuttack Rto","OR5","Petrol/Cng","Fuel","18.0"
"2022-02-01","West Bengal","19","Bishnupur Arto","WB87","Electric(Bov)","Fuel","3.0"
"2019-06-01","Tamil Nadu","33","Namakkal (North) Rto","TN28","Petrol/Hybrid","Fuel","1.0"
"2020-02-01","Haryana","06","Rta, Rohtak","HR46","Diesel","Fuel","229.0"
"2019-01-01","Kerala","32","Kattakada Srto","KL74","Petrol","Fuel","832.0"
"2021-02-01","Maharashtra","27","Srirampur","MH17","Cng Only","Fuel","2.0"
"2023-11-01","Maharashtra","27","Ichalkaranji","MH51","Electric(Bov)","Fuel","417.0"
"2022-01-01","Tamil Nadu","33","Chennai (North) Rto","TN5","Diesel","Fuel","134.0"
"2023-10-01","Tamil Nadu","33","Tiruppur (North) Rto","TN39","Petrol","Fuel","1381.0"
"2021-06-01","Haryana","06","Sdm Office Kalka","HR49","Diesel","Fuel","46.0"
"2024-02-01","Madhya Pradesh","23","Chhindwara Arto","MP28","Petrol/Cng","Fuel","4.0"
"2022-02-01","Tamil Nadu","33","Cuddalore Rto","TN31","Cng Only","Fuel","3.0"
"2020-09-01","Assam","18","Udalguri","AS27","Petrol","Fuel","553.0"
"2022-02-01","Odisha","21","Jharsuguda Rto","OR23","Petrol/Hybrid","Fuel","13.0"
"2022-12-01","Punjab","03","Rto Jalandhar","PB8","Petrol/Hybrid","Fuel","76.0"
"2019-08-01","Uttar Pradesh","09","Kannauj","UP74","Petrol/Hybrid","Fuel","2.0"
"2022-12-01","Andhra Pradesh","28","Vuyyuru Uo","AP516","Diesel","Fuel","50.0"
"2024-02-01","Karnataka","29","Honnavar Arto","KA47","Petrol/Cng","Fuel","12.0"
"2021-10-01","Tamil Nadu","33","Tiruvarur Rto","TN50","Electric(Bov)","Fuel","21.0"
"2023-09-01","Uttar Pradesh","09","Mirzapur Rto","UP63","Not Applicable","Fuel","2.0"
"2023-05-01","Himachal Pradesh","02","Rla Nahan","HP18","Petrol/Hybrid","Fuel","4.0"
"2022-06-01","Karnataka","29","Udupi Rto","KA20","Petrol/Hybrid","Fuel","21.0"
"2022-08-01","Himachal Pradesh","02","Rla Paonta Sahib","HP17","Diesel","Fuel","26.0"
"2020-01-01","Uttar Pradesh","09","Sambhal Arto","UP38","Diesel","Fuel","351.0"
"2021-10-01","Puducherry","34","Villianur","PY51","Petrol/Hybrid","Fuel","7.0"
"2024-04-01","Bihar","10","Motihari","BR5","Petrol/Hybrid","Fuel","9.0"
